Country,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
United States of America,45,1,22,5,45
Ukraine,55,1,40,1,55
United States of America,114,3,8,37,114
Slovakia,50,1,31,1,50
New Zealand,13,0,13,1,12
Brazil,88,3,7,8,88
Germany,33,1,33,2,30
Sweden,38,0,38,1,19
Italy,33,1,33,2,23
United States of America,47,1,21,2,47
Pakistan,500,1,45,0,364
Germany,33,1,33,2,29
Portugal,40,1,22,4,40
Mexico,195,3,5,15,195
China,99,4,99,5,97
China,183,4,183,2,115
Angola,66,1,22,0,66
Philippines,15,0,15,0,15
Belarus,52,1,28,1,52
Russian Federation,70,1,23,2,70
Netherlands,38,1,27,4,38
Guinea,32,1,14,0,32
United States of America,72,3,0,10,72
Pakistan,500,1,45,0,386
Germany,29,0,28,1,29
Indonesia,67,1,36,0,67
Philippines,57,1,25,1,57
United Republic of Tanzania,31,1,11,0,31
India,60,1,37,0,60
Philippines,54,1,22,0,54
Italy,49,1,49,0,36
India,148,1,32,0,148
Spain,32,1,32,1,15
Philippines,17,0,16,0,17
Russian Federation,33,1,33,0,10
Russian Federation,44,1,44,4,31
Russian Federation,61,1,24,10,61
Russian Federation,25,1,25,0,19
Netherlands,39,1,27,5,39
Norway,52,0,34,1,52
Thailand,57,0,24,0,57
Pakistan,191,2,163,1,191
Germany,28,1,28,2,25
India,85,2,40,1,85
Russian Federation,31,1,31,0,31
Indonesia,58,1,28,0,58
Belgium,38,1,23,3,38
France,33,0,33,0,21
France,38,1,23,3,38
Mexico,52,1,6,5,52
,48,1,48,2,34
Nigeria,79,2,27,0,79
Portugal,40,0,29,1,40
Russian Federation,36,1,36,0,24
Morocco,39,1,39,4,38
Iran (Islamic Republic of),151,1,61,0,151
Azerbaijan,70,1,38,0,70
Pakistan,102,0,43,0,102
Indonesia,34,1,25,0,34
Egypt,110,2,71,3,110
China,111,2,42,8,111
United States of America,77,2,10,27,77
India,66,1,25,0,66
Brazil,52,1,6,1,52
Guatemala,55,1,12,0,55
Italy,44,1,33,3,44
Indonesia,66,1,32,1,66
,55,0,26,0,55
China,110,2,110,1,59
India,467,1,102,1,400
Germany,37,1,37,1,30
Indonesia,157,2,84,2,157
United Kingdom of Great Britain and Northern Ireland,39,0,31,1,39
India,179,3,102,4,179
Hungary,51,1,27,2,51
Hungary,52,1,27,2,52
United Kingdom of Great Britain and Northern Ireland,36,0,27,3,36
United Kingdom of Great Britain and Northern Ireland,50,0,29,1,50
United States of America,51,1,28,9,51
Ecuador,79,3,5,9,79
Venezuela (Bolivarian Republic of),48,1,18,5,48
Spain,57,1,30,6,57
Guatemala,99,3,11,11,99
Spain,32,0,32,0,21
United States of America,24,1,24,2,17
Germany,32,1,32,2,26
Brazil,51,1,7,4,51
India,72,1,26,0,72
United States of America,29,1,29,2,23
Iran (Islamic Republic of),172,2,172,4,150
Mongolia,81,1,34,0,81
Spain,32,0,32,1,22
Turkey,74,0,40,0,74
Kazakhstan,130,1,30,0,130
Brazil,55,2,1,3,55
Belgium,38,1,28,4,38
Spain,31,1,31,2,25
Mexico,56,2,1,5,56
Italy,40,1,40,1,30
United States of America,45,1,32,8,45
Pakistan,301,1,82,1,301
United States of America,59,2,41,5,59
United Kingdom of Great Britain and Northern Ireland,78,0,37,0,78
France,28,1,27,2,28
Italy,44,1,44,0,33
Brazil,13,1,2,0,13
Brazil,51,1,12,4,51
Germany,30,0,30,2,26
Malta,49,1,49,0,47
France,46,1,19,4,46
India,217,3,103,1,217
Italy,38,1,38,1,36
Argentina,32,0,13,0,32
United States of America,64,2,5,15,64
United States of America,58,1,24,4,58
Rwanda,157,4,17,2,157
United States of America,84,1,9,15,84
United States of America,78,2,9,28,78
Turkey,31,1,31,0,28
Netherlands,40,1,28,4,40
Sweden,38,0,38,1,19
France,51,1,21,5,51
United States of America,43,1,17,4,43
Portugal,37,0,28,1,37
France,72,1,34,3,72
United States of America,66,2,12,15,66
United States of America,75,2,5,14,75
Denmark,39,0,39,0,19
Colombia,44,1,8,3,44
Brazil,57,1,6,2,57
Ecuador,59,2,1,6,59
Portugal,32,1,25,1,32
Italy,85,1,27,6,85
Senegal,150,1,24,2,150
China,99,3,41,6,99
Germany,34,1,34,2,27
Germany,37,1,37,1,24
Haiti,144,3,4,12,144
United States of America,64,1,29,4,64
Sri Lanka,58,1,27,1,58
Germany,31,1,25,3,31
China,129,3,129,3,78
United States of America,72,2,17,7,72
China,62,1,56,4,62
China,70,2,28,2,70
China,159,3,159,2,94
Mexico,95,3,8,11,95
Germany,34,1,33,2,34
China,68,2,29,2,68
China,124,4,44,7,124
Mexico,36,1,23,1,36
Egypt,70,1,63,1,70
Germany,32,1,32,2,24
Poland,33,1,33,1,33
Netherlands,39,1,29,4,39
Romania,61,1,40,0,61
Malaysia,54,1,47,0,54
India,174,1,46,0,174
Japan,40,1,40,2,33
India,89,2,36,1,89
United States of America,83,1,11,12,83
Sweden,38,0,38,0,20
Germany,37,1,37,1,24
Germany,34,1,28,4,34
India,417,1,49,1,323
Hungary,38,1,32,1,38
United States of America,53,1,45,1,53
Japan,48,1,48,1,33
Ukraine,64,1,44,0,64
United States of America,31,1,31,1,26
Germany,32,0,32,1,26
China,174,9,38,23,174
Netherlands,35,1,33,2,35
United States of America,93,2,6,17,93
Brazil,25,1,7,1,25
France,29,0,29,1,17
United States of America,56,1,20,7,56
Japan,38,1,38,0,14
Botswana,31,1,18,0,31
India,500,1,55,1,500
Ethiopia,69,1,15,0,69
Colombia,36,1,5,3,36
United States of America,45,1,45,1,25
United States of America,47,1,30,8,47
Poland,61,1,27,2,61
Spain,46,1,26,4,46
Russian Federation,43,1,31,0,43
United Republic of Tanzania,26,0,16,0,26
Ecuador,59,1,13,6,59
United States of America,44,1,21,8,44
United States of America,72,2,16,10,72
Botswana,32,1,17,0,32
France,46,1,23,4,46
Germany,35,1,35,1,29
Sri Lanka,46,1,32,0,46
Guatemala,64,2,9,7,64
United States of America,125,4,4,36,125
Brazil,24,0,13,0,24
France,50,1,22,5,50
France,50,1,19,5,50
India,452,1,72,1,333
Nigeria,48,2,21,0,48
China,62,1,47,0,62
United Republic of Tanzania,30,0,16,0,30
Burundi,67,4,20,1,67
Brazil,42,1,14,2,42
United States of America,54,1,19,6,54
Poland,52,1,28,1,52
India,209,1,44,0,209
India,500,0,35,0,426
India,152,1,41,0,152
India,153,0,38,0,153
Japan,51,1,51,1,44
India,108,2,47,1,108
Mexico,64,1,23,2,64
India,142,1,38,0,142
Pakistan,356,2,100,1,354
United States of America,78,2,43,6,78
China,39,1,39,0,18
United States of America,73,2,40,10,73
Germany,34,1,34,2,28
,53,1,53,1,23
Germany,34,1,25,5,34
United States of America,57,1,45,4,57
United States of America,39,1,20,4,39
United Kingdom of Great Britain and Northern Ireland,47,0,27,3,47
Indonesia,60,1,29,1,60
United Republic of Tanzania,64,3,14,1,64
United Republic of Tanzania,33,0,15,0,33
Russian Federation,32,1,32,0,9
France,39,1,37,0,39
France,32,0,32,1,18
Russian Federation,51,0,31,0,51
Turkey,112,1,47,0,112
Italy,55,1,55,0,42
Thailand,37,0,26,0,37
Thailand,43,1,33,0,43
India,291,1,41,0,291
United States of America,52,1,48,3,52
Italy,61,2,37,4,61
India,192,1,33,0,192
China,151,3,151,2,97
Italy,58,1,47,3,58
Brazil,48,1,9,4,48
Italy,42,1,39,4,42
Brazil,29,1,6,1,29
Jamaica,41,0,26,1,41
Canada,28,1,28,0,12
Brazil,43,1,14,1,43
Russian Federation,32,1,32,1,29
Germany,52,1,35,4,52
,71,1,16,0,71
Chile,17,0,17,0,3
Venezuela (Bolivarian Republic of),37,1,22,1,37
Indonesia,101,2,90,1,101
Belgium,55,1,27,4,55
Italy,54,1,36,3,54
Brazil,88,3,0,7,88
Brazil,24,0,16,1,24
Poland,76,1,39,1,76
India,151,4,146,1,151
India,61,0,26,0,61
United States of America,65,1,28,4,65
Russian Federation,35,1,35,0,16
Romania,37,1,37,0,16
Switzerland,43,2,23,5,43
United States of America,48,1,12,13,48
France,71,1,24,4,71
United States of America,63,1,23,7,63
Sweden,27,0,27,0,10
Germany,64,1,39,1,64
Japan,28,1,24,3,28
Belgium,37,1,30,3,37
Italy,53,2,23,6,53
Uganda,59,1,17,0,59
Thailand,53,1,27,0,53
Indonesia,74,2,47,0,74
Italy,50,1,27,5,50
Indonesia,97,2,70,1,97
India,171,1,44,0,171
Philippines,62,1,23,1,62
India,148,3,148,0,140
Central African Republic,67,2,17,0,67
United States of America,51,1,19,15,51
Brazil,15,0,14,0,15
Bolivia (Plurinational State of),20,0,7,1,20
India,69,0,22,0,69
United States of America,74,3,20,26,74
Russian Federation,34,1,34,0,28
United States of America,103,1,19,4,103
Brazil,32,0,18,1,32
China,62,2,49,7,62
China,200,5,200,7,163
Greece,94,1,45,1,94
Italy,58,2,31,4,58
France,151,1,31,5,151
Brazil,156,8,2,21,156
Brazil,14,0,14,0,13
Russian Federation,49,1,28,6,49
Germany,51,1,22,6,51
South Africa,49,1,31,0,49
China,159,3,159,1,79
Netherlands,30,1,30,3,20
Romania,40,1,35,1,40
United States of America,72,2,15,16,72
Greece,51,1,35,0,51
India,85,2,85,1,61
Russian Federation,37,1,26,0,37
United States of America,87,4,14,33,87
United States of America,109,3,16,31,109
Germany,56,1,35,4,56
Germany,53,2,26,6,53
Germany,69,1,38,2,69
Dominican Republic,57,1,19,3,57
Turkey,62,1,33,1,62
Kenya,78,3,25,1,78
Brazil,90,2,7,8,90
Germany,52,1,29,6,52
Norway,30,0,30,0,26
Mexico,56,1,30,1,56
Netherlands,32,0,32,1,17
France,53,1,23,3,53
Germany,57,1,43,2,57
Germany,45,1,35,2,45
United States of America,67,2,35,13,67
Portugal,34,1,34,2,30
United States of America,54,1,25,6,54
Niger,65,1,21,1,65
United States of America,70,2,28,16,70
,51,2,39,7,51
United States of America,105,3,12,26,105
Germany,59,1,36,4,59
Hungary,83,1,38,3,83
United Kingdom of Great Britain and Northern Ireland,33,0,33,1,9
Japan,40,1,40,2,30
Mexico,84,2,19,3,84
Côte d'Ivoire,39,1,18,0,39
Brazil,20,0,16,1,20
Italy,75,2,29,8,75
United States of America,32,1,30,7,32
Democratic Republic of the Congo,39,2,10,0,39
India,154,3,107,2,154
Rwanda,78,6,17,3,78
United Kingdom of Great Britain and Northern Ireland,32,0,32,2,16
India,125,2,52,1,125
Brazil,30,0,12,1,30
Brazil,52,1,12,2,52
Iran (Islamic Republic of),149,2,144,5,149
United States of America,43,1,12,5,43
Brazil,176,8,0,23,176
Afghanistan,117,1,44,0,117
India,160,2,46,4,160
Pakistan,165,4,78,6,165
India,154,4,14,12,154
Germany,42,1,42,0,26
Rwanda,107,2,29,1,107
Russian Federation,35,1,35,0,15
Ghana,35,1,23,0,35
Hungary,58,1,58,0,54
Uganda,51,1,15,0,51
Papua New Guinea,19,0,14,0,19
Japan,88,2,13,16,88
Lithuania,35,1,35,0,25
India,109,3,47,2,109
Mali,43,1,21,0,43
Russian Federation,28,1,28,0,11
Slovenia,81,1,49,0,81
India,174,2,44,4,174
Belgium,53,1,38,2,53
Poland,41,1,41,0,32
India,117,2,40,5,117
Russian Federation,48,1,48,0,19
Poland,61,1,41,0,61
Russian Federation,43,1,39,0,43
India,128,1,35,2,128
India,168,3,125,2,168
Turkey,70,1,70,0,44
Russian Federation,40,1,40,2,30
Venezuela (Bolivarian Republic of),45,1,25,0,45
Myanmar,30,1,30,0,28
China,124,5,124,7,111
United States of America,66,1,28,1,66
India,55,0,21,1,55
United States of America,35,0,35,0,8
Brazil,78,1,33,1,78
France,48,1,48,0,29
France,75,1,54,0,75
Mauritius,55,1,27,0,55
France,57,1,44,0,57
Italy,84,1,62,0,84
United Kingdom of Great Britain and Northern Ireland,32,1,29,1,32
Austria,63,1,39,0,63
South Sudan,75,1,10,0,75
Indonesia,264,15,8,52,264
France,70,1,44,1,70
Belgium,56,1,41,1,56
Pakistan,169,5,69,8,169
France,73,1,45,1,73
Costa Rica,51,1,24,0,51
United States of America,50,1,32,1,50
Brazil,60,1,29,0,60
Brazil,35,1,17,0,35
France,35,1,35,0,31
United States of America,116,3,19,25,116
Spain,45,1,45,0,28
Germany,44,1,44,0,43
China,150,4,18,44,150
United Kingdom of Great Britain and Northern Ireland,34,1,30,1,34
Brazil,67,1,21,1,67
Italy,76,1,59,0,76
China,154,3,2,28,154
China,97,2,25,6,97
China,218,1,38,5,218
Kazakhstan,61,1,29,1,61
Russian Federation,27,1,13,2,27
Indonesia,189,10,7,25,189
United States of America,148,3,18,23,148
United States of America,61,1,21,3,61
Latvia,35,1,35,0,17
United States of America,53,1,46,0,53
India,141,4,43,6,141
Bulgaria,80,1,44,0,80
Colombia,71,2,16,3,71
Brazil,92,2,2,9,92
United States of America,36,1,26,9,36
India,178,3,169,3,178
United Kingdom of Great Britain and Northern Ireland,28,1,28,3,17
United Kingdom of Great Britain and Northern Ireland,26,1,26,2,15
India,112,2,27,2,112
Romania,36,1,36,0,15
Italy,75,1,43,3,75
Germany,68,1,40,1,68
United States of America,48,1,48,3,29
Germany,35,1,35,1,35
Italy,43,1,28,4,43
United States of America,33,1,33,2,15
Germany,46,1,32,4,46
Germany,69,1,36,2,69
Spain,36,1,27,3,36
Denmark,36,0,36,0,16
Mexico,58,1,21,1,58
Nicaragua,46,1,21,0,46
Italy,58,2,39,7,58
France,47,1,25,5,47
France,44,1,27,5,44
Afghanistan,113,1,42,0,113
Germany,50,1,35,1,50
United Kingdom of Great Britain and Northern Ireland,28,1,23,5,28
United Kingdom of Great Britain and Northern Ireland,50,1,15,10,50
Slovakia,73,1,44,0,73
France,46,1,29,4,46
France,109,1,25,0,109
Canada,59,2,4,10,59
France,41,1,41,1,17
France,109,2,23,5,109
Mexico,137,3,9,10,137
Guatemala,90,3,7,10,90
Russian Federation,19,1,19,0,11
India,105,2,23,3,105
Uzbekistan,108,1,52,1,108
United States of America,72,1,29,2,72
India,150,3,146,1,150
India,226,1,48,0,226
United States of America,57,2,27,13,57
Ethiopia,70,1,14,0,70
Germany,35,0,35,1,20
Pakistan,180,2,107,0,180
India,65,0,21,0,65
Netherlands,30,1,30,2,21
Senegal,154,2,13,4,154
Turkey,43,1,43,0,42
Japan,49,1,49,3,43
India,171,3,110,2,171
India,52,1,25,1,52
India,151,2,30,5,151
Germany,43,1,43,0,25
Germany,53,1,48,0,53
Nicaragua,24,1,23,0,24
United States of America,43,1,43,2,23
Peru,49,0,24,0,49
South Africa,154,2,0,23,154
Germany,62,1,62,0,60
Germany,44,1,44,0,32
Japan,95,2,10,16,95
Republic of Korea,421,27,0,91,415
Italy,96,1,59,0,96
Russian Federation,28,1,28,2,13
France,47,1,47,0,29
Japan,112,3,6,19,112
France,69,1,56,0,69
United States of America,82,2,41,6,82
Cameroon,54,1,15,0,54
Mexico,180,1,35,4,180
China,123,4,89,14,123
Azerbaijan,39,1,31,0,39
Ethiopia,22,0,13,0,22
Ukraine,43,1,43,0,24
Burkina Faso,74,1,34,0,74
Myanmar,41,1,20,1,41
United States of America,51,1,44,1,51
United States of America,60,1,49,1,60
United States of America,57,1,32,5,57
United States of America,41,1,35,1,41
United States of America,50,1,42,2,50
United States of America,86,1,86,1,19
United States of America,53,1,29,0,53
Indonesia,176,8,10,17,176
United States of America,41,1,41,3,24
United States of America,48,1,29,8,48
Japan,36,1,34,5,36
Poland,89,1,38,3,89
United States of America,58,1,45,4,58
Cabo Verde,36,0,36,0,27
Japan,42,1,42,1,31
United States of America,87,3,5,24,87
India,168,4,168,1,165
United Republic of Tanzania,28,1,15,0,28
Indonesia,82,2,50,1,82
Dominican Republic,74,1,12,10,74
Italy,62,1,45,3,62
Russian Federation,31,1,31,0,20
Spain,28,1,28,1,27
Italy,64,1,44,2,64
Poland,59,1,30,1,59
Mexico,80,1,11,2,80
United States of America,50,1,43,1,50
Mexico,68,2,13,5,68
Madagascar,64,1,22,0,64
Japan,32,1,32,3,19
Italy,74,2,32,6,74
United States of America,32,1,32,1,15
United Republic of Tanzania,25,1,18,0,25
Czechia,69,1,41,2,69
India,55,0,22,0,55
United States of America,55,2,26,13,55
India,69,0,24,0,69
Japan,55,1,55,1,40
Hungary,87,1,35,3,87
Kenya,60,2,23,0,60
Thailand,21,0,21,0,20
Uzbekistan,151,1,74,0,151
Mozambique,20,0,20,0,19
Japan,43,1,40,1,43
India,154,4,142,1,154
United States of America,85,1,17,3,85
India,162,3,151,1,162
Argentina,23,0,23,0,17
Czechia,78,1,43,2,78
Israel,61,1,50,4,61
Germany,32,0,32,1,20
Germany,47,1,31,3,47
United States of America,63,1,27,7,63
Indonesia,121,2,60,1,121
Russian Federation,28,0,28,0,19
India,56,1,30,0,56
India,68,0,21,0,68
,56,2,38,5,56
Nigeria,166,11,18,8,166
Italy,56,1,56,1,50
Italy,60,1,46,3,60
France,62,1,25,4,62
United States of America,54,1,16,10,54
India,46,1,33,1,46
United States of America,36,1,27,4,36
Mauritania,157,0,36,0,157
Croatia,58,1,26,1,58
Brazil,34,1,3,0,34
Russian Federation,30,1,30,0,27
France,76,1,31,3,76
Russian Federation,49,1,28,0,49
Denmark,23,1,23,0,17
United States of America,52,2,26,11,52
Nigeria,161,7,34,4,161
Japan,31,1,31,2,20
Ukraine,40,1,40,1,24
Nigeria,165,6,38,4,165
United States of America,58,2,30,9,58
Sweden,38,0,38,0,20
India,67,1,34,1,67
Russian Federation,36,1,36,0,27
United States of America,98,3,5,24,98
France,31,1,28,2,31
India,235,4,111,5,235
Peru,24,0,5,1,24
Brazil,156,6,0,9,156
United States of America,63,1,12,13,63
Turkey,36,1,36,2,23
Canada,35,1,35,0,25
United States of America,38,1,30,11,38
Brazil,60,1,3,5,60
United States of America,44,1,15,8,44
Italy,54,1,54,0,31
United States of America,70,2,18,15,70
United States of America,69,2,18,13,69
United States of America,73,2,15,18,73
France,27,0,27,2,20
Brazil,70,2,3,6,70
Cuba,75,1,15,8,75
Turkey,30,1,30,1,29
India,160,1,33,0,160
Spain,40,1,24,3,40
United Kingdom of Great Britain and Northern Ireland,30,0,30,1,21
Russian Federation,40,1,40,0,25
Brazil,34,1,12,1,34
Republic of North Macedonia,60,1,44,0,60
France,31,1,28,2,31
India,201,2,95,2,201
Chad,47,2,7,0,47
Germany,28,1,28,2,27
Italy,59,1,35,2,59
United States of America,43,1,36,4,43
United States of America,53,1,40,4,53
United States of America,51,1,31,6,51
Romania,64,1,45,1,64
Hungary,64,1,35,3,64
Germany,34,0,28,2,34
Russian Federation,21,1,21,0,18
Brazil,164,6,0,15,164
Guinea-Bissau,120,1,27,1,120
Brazil,15,0,14,0,15
Spain,46,1,33,2,46
Canada,33,1,33,1,19
Brazil,53,1,7,4,53
Brazil,43,0,18,2,43
Brazil,28,1,8,2,28
Brazil,59,1,13,3,59
Viet Nam,47,1,32,0,47
Netherlands,35,0,35,1,27
Brazil,30,0,19,0,30
Spain,23,1,19,4,23
United States of America,50,1,33,4,50
United States of America,60,2,39,8,60
,56,1,29,9,56
Czechia,50,1,23,4,50
Mexico,60,1,26,2,60
Hungary,63,1,31,2,63
Turkey,45,1,45,0,20
Malaysia,81,1,44,0,81
France,44,1,31,0,44
India,134,1,36,0,134
India,154,3,88,1,154
China,103,3,38,13,103
Romania,66,1,43,0,66
India,500,3,61,9,437
Nigeria,83,3,14,2,83
United States of America,40,1,33,5,40
Switzerland,37,1,24,2,37
India,93,1,27,0,93
India,139,0,31,0,139
Chile,16,0,16,2,14
Armenia,32,1,27,0,32
India,57,2,15,1,57
Russian Federation,39,1,39,0,24
Thailand,24,0,24,0,17
Russian Federation,45,1,27,3,45
Philippines,60,1,25,1,60
United States of America,52,1,42,2,52
United Kingdom of Great Britain and Northern Ireland,26,1,23,6,26
France,31,1,25,2,31
India,66,0,25,0,66
Russian Federation,50,1,25,4,50
China,99,2,70,1,99
Russian Federation,35,1,35,0,29
Nicaragua,66,1,17,4,66
Mexico,46,1,11,3,46
Mexico,204,3,10,15,204
Colombia,50,1,4,4,50
United States of America,52,2,3,7,52
Indonesia,154,4,154,2,126
United States of America,42,1,40,2,42
United States of America,55,1,27,2,55
Philippines,95,1,23,0,95
China,35,1,35,0,26
Austria,29,1,25,3,29
Germany,33,1,24,3,33
Germany,35,1,24,3,35
Belgium,39,1,23,4,39
United Arab Emirates,152,1,140,3,152
China,137,3,137,1,96
United States of America,66,2,28,11,66
Canada,75,1,30,0,75
United Kingdom of Great Britain and Northern Ireland,53,1,6,13,53
Germany,34,1,25,3,34
Albania,71,1,44,1,71
United States of America,59,1,32,3,59
China,64,2,27,5,64
Kazakhstan,64,1,47,0,64
China,82,2,76,0,82
Nigeria,170,8,15,6,170
Germany,28,1,26,3,28
Germany,30,0,30,1,28
,48,1,48,1,30
Finland,24,1,24,8,12
France,29,0,29,1,28
United States of America,49,1,49,2,32
United Kingdom of Great Britain and Northern Ireland,29,1,14,11,29
Austria,34,1,25,2,34
China,38,1,38,0,18
Bangladesh,157,2,36,2,157
Chad,58,2,7,0,58
Germany,34,1,26,2,34
Italy,46,1,46,1,37
Republic of Moldova,62,1,44,0,62
United States of America,65,2,30,12,65
Cuba,56,1,17,3,56
United States of America,72,2,16,13,72
United States of America,58,1,26,2,58
Romania,72,1,42,0,72
Thailand,29,0,19,0,29
,121,1,24,0,121
United Kingdom of Great Britain and Northern Ireland,25,1,25,3,23
Somalia,160,0,19,0,160
India,190,7,70,18,190
,38,0,15,0,38
India,186,9,6,21,186
Indonesia,57,2,12,2,57
Ecuador,54,1,18,2,54
Australia,22,0,13,6,22
India,109,3,32,7,109
Thailand,82,3,8,5,82
Iran (Islamic Republic of),153,2,40,2,153
Mexico,53,1,29,0,53
Indonesia,198,11,6,30,198
India,210,11,3,27,210
Dominican Republic,108,1,29,1,108
Guatemala,63,1,26,1,63
Eritrea,76,1,28,0,76
Brazil,24,0,17,0,24
Switzerland,60,1,52,0,60
Nigeria,91,2,40,0,91
India,151,2,47,2,151
United States of America,59,1,23,4,59
Germany,57,1,48,0,57
Russian Federation,29,1,27,1,29
Bulgaria,50,1,50,0,44
Brazil,41,1,21,0,41
Canada,39,1,26,1,39
Russian Federation,47,1,47,1,30
United States of America,53,1,46,3,53
Netherlands,39,1,39,0,39
Netherlands,37,1,37,0,31
Pakistan,157,1,24,2,157
Japan,44,1,32,3,44
United States of America,31,1,31,1,28
Brazil,60,1,24,0,60
Russian Federation,41,1,41,0,7
Italy,54,1,53,0,54
Bulgaria,54,1,38,0,54
Poland,41,1,41,0,29
United States of America,52,1,40,3,52
United States of America,55,1,39,2,55
Chad,70,1,17,0,70
Russian Federation,43,1,16,3,43
Brazil,33,1,23,0,33
Brazil,35,1,9,0,35
Sweden,34,1,34,0,14
Germany,56,1,48,0,56
Tajikistan,150,1,18,1,150
Czechia,72,1,45,0,72
Belgium,55,1,42,1,55
Italy,84,1,59,0,84
Indonesia,201,12,2,28,201
China,162,8,44,24,162
Belarus,34,1,34,0,19
Ireland,40,1,40,0,31
Indonesia,151,5,23,10,151
Germany,68,1,60,0,68
France,39,1,39,0,22
Brazil,19,0,14,0,19
Barbados,73,0,24,0,73
United States of America,45,1,38,2,45
France,74,1,45,1,74
United Kingdom of Great Britain and Northern Ireland,41,1,37,1,41
France,68,1,58,0,68
Italy,56,1,46,0,56
,30,1,19,0,30
Italy,51,1,47,0,51
Tunisia,56,1,56,0,23
India,170,5,48,12,170
Philippines,75,1,27,5,75
United Republic of Tanzania,26,0,16,0,26
Germany,54,1,48,0,54
France,72,1,43,2,72
Brazil,20,0,18,0,20
Brazil,19,0,19,0,18
United States of America,50,1,34,2,50
Democratic Republic of the Congo,45,1,16,0,45
Uganda,118,3,16,1,118
Brazil,29,0,24,0,29
Mexico,279,2,38,3,279
Brazil,27,1,26,0,27
Brazil,42,1,21,0,42
United States of America,48,1,32,3,48
Romania,57,1,40,0,57
,23,0,23,0,20
Chile,32,1,19,1,32
Brazil,27,0,21,0,27
United States of America,87,1,87,1,30
Venezuela (Bolivarian Republic of),74,1,43,1,74
Brazil,24,0,20,0,24
Haiti,112,1,38,0,112
Philippines,57,1,9,3,57
Brazil,30,0,18,0,30
United States of America,44,1,37,2,44
Italy,49,1,49,0,45
,74,2,27,4,74
Italy,92,1,65,0,92
India,159,3,19,10,159
France,43,1,43,0,16
Belgium,54,1,42,1,54
Russian Federation,45,1,45,0,35
Thailand,67,2,13,2,67
Mexico,64,1,31,1,64
Guatemala,56,1,22,0,56
Republic of Moldova,55,1,49,0,55
India,170,4,78,5,170
United Kingdom of Great Britain and Northern Ireland,37,1,32,2,37
Russian Federation,29,1,29,0,8
China,167,5,22,34,167
Colombia,45,1,19,0,45
Colombia,95,2,25,0,95
United States of America,48,1,48,1,40
United States of America,50,1,47,2,50
Belgium,51,1,38,2,51
Iran (Islamic Republic of),164,1,134,1,164
Russian Federation,30,1,30,0,15
Nigeria,73,2,36,0,73
Mexico,151,1,39,2,151
Germany,41,0,41,0,26
Brazil,25,0,25,0,19
India,162,3,22,11,162
Ethiopia,58,1,20,0,58
Algeria,106,0,45,0,106
Ethiopia,89,1,27,0,89
Japan,89,2,19,23,89
Russian Federation,41,1,41,0,18
Italy,89,1,64,0,89
Spain,46,1,46,0,46
Germany,44,1,44,0,22
Hungary,60,1,60,0,57
Pakistan,182,5,51,8,182
Turkey,46,0,46,0,37
Italy,65,1,64,0,65
Côte d'Ivoire,41,1,23,0,41
United Kingdom of Great Britain and Northern Ireland,40,1,33,1,40
Italy,48,1,48,0,27
Brazil,25,0,25,0,20
United States of America,44,0,25,1,44
Netherlands,37,0,37,0,32
Netherlands,37,1,37,0,29
Guatemala,88,2,19,4,88
United States of America,58,1,28,1,58
France,42,1,42,0,23
India,150,3,25,16,150
